"strategy","v1trans","v2trans","vUptake","relax","R0","virus","other"
"Aggressive Elimination",90,75,60,1,3.75,17.28,263.74
"Aggressive Elimination",90,75,75,0,2.5,4.35,195.04
"Aggressive Elimination",90,75,75,0,3.125,6.15,292.23
"Aggressive Elimination",90,75,75,0,3.75,9.82,480.3
"Aggressive Elimination",90,75,75,1,2.5,4.61,63.64
"Aggressive Elimination",90,75,75,1,3.125,7.01,108.53
"Aggressive Elimination",90,75,75,1,3.75,12.48,230.84
"Aggressive Elimination",90,75,90,0,2.5,3.51,172.52
"Aggressive Elimination",90,75,90,0,3.125,5.02,258.47
"Aggressive Elimination",90,75,90,0,3.75,8,424.42
"Aggressive Elimination",90,75,90,1,2.5,3.61,62.4
"Aggressive Elimination",90,75,90,1,3.125,5.31,104.38
"Aggressive Elimination",90,75,90,1,3.75,9.26,205.98
"Aggressive Elimination",90,90,60,0,2.5,4.82,196.66
"Aggressive Elimination",90,90,60,0,3.125,6.94,306.63
"Aggressive Elimination",90,90,60,0,3.75,11.3,510.16
"Aggressive Elimination",90,90,60,1,2.5,5.33,64.92
"Aggressive Elimination",90,90,60,1,3.125,8.38,114.06
"Aggressive Elimination",90,90,60,1,3.75,15.15,255
"Aggressive Elimination",90,90,75,0,2.5,3.92,170.99
"Aggressive Elimination",90,90,75,0,3.125,5.67,259.97
"Aggressive Elimination",90,90,75,0,3.75,8.97,433.67
"Aggressive Elimination",90,90,75,1,2.5,4.23,64.1
"Aggressive Elimination",90,90,75,1,3.125,6.13,109.39
"Aggressive Elimination",90,90,75,1,3.75,10.7,224.59
"Aggressive Elimination",90,90,90,0,2.5,3.22,142.02
"Aggressive Elimination",90,90,90,0,3.125,4.55,214.28
"Aggressive Elimination",90,90,90,0,3.75,7.39,374.05
"Aggressive Elimination",90,90,90,1,2.5,3.33,62.4
"Aggressive Elimination",90,90,90,1,3.125,4.83,102.83
"Aggressive Elimination",90,90,90,1,3.75,8.17,201.63
"Loose Suppression",50,50,60,0,2.5,96.31,0
"Loose Suppression",50,50,60,0,3.125,951.95,243
"Loose Suppression",50,50,60,0,3.75,1354.72,380.64
"Loose Suppression",50,50,60,1,2.5,199.68,1.03
"Loose Suppression",50,50,60,1,3.125,3498.31,180.62
"Loose Suppression",50,50,60,1,3.75,4722.89,349.81
"Loose Suppression",50,50,75,0,2.5,67.06,0.9
"Loose Suppression",50,50,75,0,3.125,704.16,187.47
"Loose Suppression",50,50,75,0,3.75,1157.21,357.96
"Loose Suppression",50,50,75,1,2.5,101.6,0.76
"Loose Suppression",50,50,75,1,3.125,2452,149.46
"Loose Suppression",50,50,75,1,3.75,3853.37,336.63
"Loose Suppression",50,50,90,0,2.5,39.78,0
"Loose Suppression",50,50,90,0,3.125,515.67,145.74
"Loose Suppression",50,50,90,0,3.75,952.23,325.82
"Loose Suppression",50,50,90,1,2.5,51.37,0
"Loose Suppression",50,50,90,1,3.125,1516.63,116.2
"Loose Suppression",50,50,90,1,3.75,3126.52,319.57
"Loose Suppression",50,75,60,0,2.5,73.18,0
"Loose Suppression",50,75,60,0,3.125,793.29,174.85
"Loose Suppression",50,75,60,0,3.75,1256.24,329.73
"Loose Suppression",50,75,60,1,2.5,106.13,0
"Loose Suppression",50,75,60,1,3.125,2357.53,131.51
"Loose Suppression",50,75,60,1,3.75,4177.29,328.13
"Loose Suppression",50,75,75,0,2.5,39.52,0
"Loose Suppression",50,75,75,0,3.125,568.65,145.03
"Loose Suppression",50,75,75,0,3.75,1052.9,294.4
"Loose Suppression",50,75,75,1,2.5,44.66,0
"Loose Suppression",50,75,75,1,3.125,1410.84,105.23
"Loose Suppression",50,75,75,1,3.75,3167.16,271.66
"Loose Suppression",50,75,90,0,2.5,27.43,0
"Loose Suppression",50,75,90,0,3.125,413.59,113.35
"Loose Suppression",50,75,90,0,3.75,770.23,210.43
"Loose Suppression",50,75,90,1,2.5,28.52,0
"Loose Suppression",50,75,90,1,3.125,964.97,80.67
"Loose Suppression",50,75,90,1,3.75,2138.21,223.25
"Loose Suppression",50,90,60,0,2.5,46.34,0
"Loose Suppression",50,90,60,0,3.125,697.73,156.47
"Loose Suppression",50,90,60,0,3.75,1139.43,283.33
"Loose Suppression",50,90,60,1,2.5,59.8,0
"Loose Suppression",50,90,60,1,3.125,1710.24,118.24
"Loose Suppression",50,90,60,1,3.75,3827.65,277.74
"Loose Suppression",50,90,75,0,2.5,31.38,0
"Loose Suppression",50,90,75,0,3.125,508.01,127.04
"Loose Suppression",50,90,75,0,3.75,891.89,221.3
"Loose Suppression",50,90,75,1,2.5,33.09,0
"Loose Suppression",50,90,75,1,3.125,1136.41,89.31
"Loose Suppression",50,90,75,1,3.75,2353.52,216.35
"Loose Suppression",50,90,90,0,2.5,23.45,0
"Loose Suppression",50,90,90,0,3.125,362.53,88.17
"Loose Suppression",50,90,90,0,3.75,664.72,180.1
"Loose Suppression",50,90,90,1,2.5,23.68,0
"Loose Suppression",50,90,90,1,3.125,778.38,62.24
"Loose Suppression",50,90,90,1,3.75,1427.45,183.7
"Loose Suppression",75,50,60,0,2.5,61.81,0.62
"Loose Suppression",75,50,60,0,3.125,780.75,172.37
"Loose Suppression",75,50,60,0,3.75,1278.89,356.19
"Loose Suppression",75,50,60,1,2.5,95.23,0
"Loose Suppression",75,50,60,1,3.125,2861.72,132.14
"Loose Suppression",75,50,60,1,3.75,4658.05,336.76
"Loose Suppression",75,50,75,0,2.5,31.42,0
"Loose Suppression",75,50,75,0,3.125,565.42,127.26
"Loose Suppression",75,50,75,0,3.75,1070.69,323.14
"Loose Suppression",75,50,75,1,2.5,33.21,0
"Loose Suppression",75,50,75,1,3.125,1952.04,91.89
"Loose Suppression",75,50,75,1,3.75,3490.85,300.31
"Loose Suppression",75,50,90,0,2.5,18.81,0
"Loose Suppression",75,50,90,0,3.125,390.41,76.81
"Loose Suppression",75,50,90,0,3.75,820.2,260.14
"Loose Suppression",75,50,90,1,2.5,18.81,0
"Loose Suppression",75,50,90,1,3.125,1056.96,54.88
"Loose Suppression",75,50,90,1,3.75,2654.28,244.2
"Loose Suppression",75,75,60,0,2.5,40.42,0
"Loose Suppression",75,75,60,0,3.125,624.25,129.15
"Loose Suppression",75,75,60,0,3.75,1154.48,294.19
"Loose Suppression",75,75,60,1,2.5,43.13,0
"Loose Suppression",75,75,60,1,3.125,1899.45,94.54
"Loose Suppression",75,75,60,1,3.75,3995.21,286.22
"Loose Suppression",75,75,75,0,2.5,23.8,0
"Loose Suppression",75,75,75,0,3.125,459.38,90.48
"Loose Suppression",75,75,75,0,3.75,878.79,223.27
"Loose Suppression",75,75,75,1,2.5,23.8,0
"Loose Suppression",75,75,75,1,3.125,1208.54,62.92
"Loose Suppression",75,75,75,1,3.75,2577.73,219.3
"Loose Suppression",75,75,90,0,2.5,15.89,0
"Loose Suppression",75,75,90,0,3.125,306.67,59.35
"Loose Suppression",75,75,90,0,3.75,642.41,176.21
"Loose Suppression",75,75,90,1,2.5,15.89,0
"Loose Suppression",75,75,90,1,3.125,631.62,28.23
"Loose Suppression",75,75,90,1,3.75,1467.33,173.2
"Loose Suppression",75,90,60,0,2.5,36.72,0
"Loose Suppression",75,90,60,0,3.125,556.7,111.69
"Loose Suppression",75,90,60,0,3.75,1019.42,235.61
"Loose Suppression",75,90,60,1,2.5,40.22,0
"Loose Suppression",75,90,60,1,3.125,1554.23,76.97
"Loose Suppression",75,90,60,1,3.75,3230.1,229.51
"Loose Suppression",75,90,75,0,2.5,20.73,0
"Loose Suppression",75,90,75,0,3.125,393.88,70.07
"Loose Suppression",75,90,75,0,3.75,768.93,188.58
"Loose Suppression",75,90,75,1,2.5,20.73,0
"Loose Suppression",75,90,75,1,3.125,845.26,46.38
"Loose Suppression",75,90,75,1,3.75,1707.29,174.93
"Loose Suppression",75,90,90,0,2.5,14.77,0
"Loose Suppression",75,90,90,0,3.125,257.63,39.96
"Loose Suppression",75,90,90,0,3.75,585.38,174.67
"Loose Suppression",75,90,90,1,2.5,14.77,0
"Loose Suppression",75,90,90,1,3.125,460.03,24.69
"Loose Suppression",75,90,90,1,3.75,1077.21,160.71
"Loose Suppression",90,50,60,0,2.5,32.51,0
"Loose Suppression",90,50,60,0,3.125,669.16,131.24
"Loose Suppression",90,50,60,0,3.75,1207.65,322.17
"Loose Suppression",90,50,60,1,2.5,35.44,0
"Loose Suppression",90,50,60,1,3.125,2612.5,105.3
"Loose Suppression",90,50,60,1,3.75,4335.11,313.52
"Loose Suppression",90,50,75,0,2.5,19.7,0
"Loose Suppression",90,50,75,0,3.125,441.63,67.42
"Loose Suppression",90,50,75,0,3.75,968.84,265.7
"Loose Suppression",90,50,75,1,2.5,19.7,0
"Loose Suppression",90,50,75,1,3.125,1394.44,46.63
"Loose Suppression",90,50,75,1,3.75,3215.69,256.46
"Loose Suppression",90,50,90,0,2.5,13.65,0
"Loose Suppression",90,50,90,0,3.125,241.5,16.31
"Loose Suppression",90,50,90,0,3.75,714.55,204.78
"Loose Suppression",90,50,90,1,2.5,13.65,0
"Loose Suppression",90,50,90,1,3.125,569.92,14.56
"Loose Suppression",90,50,90,1,3.75,1887.32,182.24
"Loose Suppression",90,75,60,0,2.5,28.41,0
"Loose Suppression",90,75,60,0,3.125,540.9,92.5
"Loose Suppression",90,75,60,0,3.75,1031.76,243.08
"Loose Suppression",90,75,60,1,2.5,29.62,0
"Loose Suppression",90,75,60,1,3.125,1588.46,65.07
"Loose Suppression",90,75,60,1,3.75,3601.2,250.65
"Loose Suppression",90,75,75,0,2.5,17.37,0
"Loose Suppression",90,75,75,0,3.125,352.11,42.95
"Loose Suppression",90,75,75,0,3.75,780.63,198.72
"Loose Suppression",90,75,75,1,2.5,17.37,0
"Loose Suppression",90,75,75,1,3.125,802.62,26.68
"Loose Suppression",90,75,75,1,3.75,1866.32,179.99
"Loose Suppression",90,75,90,0,2.5,12.37,0
"Loose Suppression",90,75,90,0,3.125,186.94,15.53
"Loose Suppression",90,75,90,0,3.75,569,167.59
"Loose Suppression",90,75,90,1,2.5,12.37,0
"Loose Suppression",90,75,90,1,3.125,346.44,8.55
"Loose Suppression",90,75,90,1,3.75,1040.51,149.02
"Loose Suppression",90,90,60,0,2.5,26.11,0
"Loose Suppression",90,90,60,0,3.125,468,68.94
"Loose Suppression",90,90,60,0,3.75,906.69,196.07
"Loose Suppression",90,90,60,1,2.5,31.62,0
"Loose Suppression",90,90,60,1,3.125,1245.08,45.23
"Loose Suppression",90,90,60,1,3.75,2642.36,195.78
"Loose Suppression",90,90,75,0,2.5,15.76,0
"Loose Suppression",90,90,75,0,3.125,291.25,29.77
"Loose Suppression",90,90,75,0,3.75,680.92,174.85
"Loose Suppression",90,90,75,1,2.5,15.76,0
"Loose Suppression",90,90,75,1,3.125,509.66,20.12
"Loose Suppression",90,90,75,1,3.75,1308.8,164.44
"Loose Suppression",90,90,90,0,2.5,11.63,0
"Loose Suppression",90,90,90,0,3.125,160.19,10.71
"Loose Suppression",90,90,90,0,3.75,532.61,158.64
"Loose Suppression",90,90,90,1,2.5,11.63,0
"Loose Suppression",90,90,90,1,3.125,237.32,4.71
"Loose Suppression",90,90,90,1,3.75,906.95,143.29
"Moderate Elimination",50,50,60,0,2.5,9.95,23.91
"Moderate Elimination",50,50,60,0,3.125,21.45,141.55
"Moderate Elimination",50,50,60,0,3.75,37.63,452.8
"Moderate Elimination",50,50,60,1,2.5,12.63,1.78
"Moderate Elimination",50,50,60,1,3.125,30.51,20.77
"Moderate Elimination",50,50,60,1,3.75,102.33,277.22
"Moderate Elimination",50,50,75,0,2.5,8.53,16.29
"Moderate Elimination",50,50,75,0,3.125,17.57,109.94
"Moderate Elimination",50,50,75,0,3.75,32.21,404.65
"Moderate Elimination",50,50,75,1,2.5,10.5,2.23
"Moderate Elimination",50,50,75,1,3.125,22.14,17.15
"Moderate Elimination",50,50,75,1,3.75,71.5,205.56
"Moderate Elimination",50,50,90,0,2.5,6.79,11.14
"Moderate Elimination",50,50,90,0,3.125,15.05,82.72
"Moderate Elimination",50,50,90,0,3.75,26.29,334.74
"Moderate Elimination",50,50,90,1,2.5,8.11,0.91
"Moderate Elimination",50,50,90,1,3.125,18.34,19.37
